sample_id,animal,process_date,concentration,sample_type,bilateral,mortem
1969,1942,2025-06-30,0.1,RPLN,TRUE,post-mortem
1970,1945,2025-06-30,0.1,RPLN,,post-mortem
1971,1945,2025-06-30,0.1,obex,,post-mortem
1972,B-121,2025-06-30,0.1,RPLN,,post-mortem
1973,B-121,2025-06-30,0.1,obex,,post-mortem
1974,B-166,2025-06-30,0.1,RPLN,,post-mortem
1975,B-166,2025-06-30,0.1,obex,,post-mortem
1976,1941,2025-06-30,0.1,RPLN,TRUE,post-mortem
1977,1941,2025-06-30,0.1,obex,,post-mortem
1978,1944,2025-06-30,0.1,RPLN,TRUE,post-mortem
1979,Y-16,2025-06-30,0.1,obex,,post-mortem
1980,Y-18,2025-06-30,0.1,RPLN,TRUE,post-mortem
1981,1905,2025-06-30,0.1,RPLN,,post-mortem
1982,1943,2025-06-30,0.1,obex,,post-mortem
1983,1941,2025-06-30,0.1,RAMALT,,post-mortem
1984,B-227,2025-06-30,0.1,RAMALT,,post-mortem
2001,1942,2025-09-29,0.1,RPLN,,post-mortem
2002,1942,2025-09-29,0.1,RPLN,,post-mortem
2003,1941,2025-09-29,0.1,RPLN,,post-mortem
2004,1941,2025-09-29,0.1,RPLN,,post-mortem
2005,1944,2025-09-29,0.1,RPLN,,post-mortem
2006,Y-18,2025-09-29,0.1,RPLN,,post-mortem
2007,Y-18,2025-09-29,0.1,RPLN,,post-mortem
2008,B-109,2025-09-29,0.1,RAMALT,,post-mortem
2009,B-109,2025-09-29,0.1,obex,,post-mortem
2010,1942,2025-10-09,0.1,RAMALT,,ante-mortem
2011,B-146,2025-10-09,0.1,RAMALT,,ante-mortem
2012,1945,2025-10-09,0.1,RAMALT,,ante-mortem
2013,B-112,2025-10-09,0.1,RAMALT,,ante-mortem
2014,B-121,2025-10-09,0.1,RAMALT,,ante-mortem
2015,B-166,2025-10-09,0.1,RAMALT,,ante-mortem
2016,1901,2025-10-09,0.1,RAMALT,,ante-mortem
2017,1941,2025-10-09,0.1,RAMALT,,ante-mortem
2018,1944,2025-10-09,0.1,RAMALT,,ante-mortem
2019,Y-16,2025-10-09,0.1,RAMALT,,ante-mortem
2020,Y-18,2025-10-09,0.1,RAMALT,,ante-mortem
2021,1905,2025-10-09,0.1,RAMALT,,ante-mortem
2022,B-167,2025-10-09,0.1,RAMALT,,ante-mortem
2023,B-227,2025-10-09,0.1,RAMALT,,ante-mortem
2024,1904,2025-10-09,0.1,RAMALT,,ante-mortem
2025,1943,2025-10-09,0.1,RAMALT,,ante-mortem
2026,O-39,2025-10-09,0.1,RAMALT,,ante-mortem
2027,Y-15,2025-10-09,0.1,RAMALT,,ante-mortem
2028,B-204,2025-10-09,0.1,RAMALT,,ante-mortem
2029,B-206,2025-10-09,0.1,RAMALT,,ante-mortem
2030,B-199,2025-10-09,0.1,RAMALT,,ante-mortem
2031,Y-23,2025-10-09,0.1,RAMALT,,ante-mortem
2032,B-158,2025-10-09,0.1,RAMALT,,ante-mortem
2033,B-161,2025-10-09,0.1,RAMALT,,ante-mortem
2034,B-119,2025-10-09,0.1,RAMALT,,ante-mortem
2035,B-120,2025-10-09,0.1,RAMALT,,ante-mortem
2036,O-37,2025-10-09,0.1,RAMALT,,ante-mortem
2037,1946,2025-10-09,0.1,RAMALT,,ante-mortem
2038,B-109,2025-10-09,0.1,RAMALT,,ante-mortem
2039,B-155,2025-10-09,0.1,RAMALT,,ante-mortem
2040,1942,2025-10-14,0.1,RAMALT,,ante-mortem
2041,B-146,2025-10-14,0.1,RAMALT,,ante-mortem
2042,1945,2025-10-14,0.1,RAMALT,,ante-mortem
