Sample IDs,MNPRO ID,Animal IDs,Months
2010,3380,1942,0 MPI
2011,3381,B-146,0 MPI
2012,3382,1945,0 MPI
2013,3383,B-112,0 MPI
2014,3384,B-121,0 MPI
2015,3385,B-166,0 MPI
2016,3386,1901,0 MPI
2017,3387,1941,0 MPI
2018,3388,1944,0 MPI
2019,3389,Y-16,0 MPI
2020,3390,Y-18,0 MPI
2021,3391,1905,0 MPI
2022,3392,B-167,0 MPI
2023,3393,B-227,0 MPI
2024,3394,1904,0 MPI
2025,3395,1943,0 MPI
2026,3396,O-39,0 MPI
2027,3397,Y-15,0 MPI
2028,3398,B-204,0 MPI
2029,3399,B-206,0 MPI
2030,3400,B-199,0 MPI
2031,3401,Y-23,0 MPI
2032,3402,B-158,0 MPI
2033,3403,B-161,0 MPI
2034,3404,B-119,0 MPI
2035,3405,B-120,0 MPI
2036,3406,O-37,0 MPI
2037,3407,1946,0 MPI
2038,3408,B-109,0 MPI
2039,3409,B-155,0 MPI
2040,3437,1942,3 MPI
2041,3438,B-146,3 MPI
2042,3439,1945,3 MPI
2043,3440,B-112,3 MPI
2044,3441,B-121,3 MPI
2045,3442,B-166,3 MPI
2046,3443,1901,3 MPI
2047,3444,1941,3 MPI
2048,3445,1944,3 MPI
2049,3446,Y-16,3 MPI
2050,3447,Y-18,3 MPI
2051,3448,1905,3 MPI
2052,3449,B-167,3 MPI
2053,3451,1904,3 MPI
2054,3452,1943,3 MPI
2055,3453,O-39,3 MPI
2056,3454,Y-15,3 MPI
2057,3455,B-204,3 MPI
2058,3456,B-206,3 MPI
2059,3457,B-199,3 MPI
2060,3458,Y-23,3 MPI
2061,3459,B-158,3 MPI
2062,3460,B-161,3 MPI
2063,3461,B-119,3 MPI
2064,3462,B-120,3 MPI
2065,3463,O-37,3 MPI
2066,3464,1946,3 MPI
2067,3465,B-109,3 MPI
2068,3466,B-155,3 MPI
2069,3467,1942,6 MPI
2070,3468,B-146,6 MPI
2071,3469,1945,6 MPI
2072,3470,B-112,6 MPI
2073,3471,B-121,6 MPI
2074,3472,B-166,6 MPI
2075,3473,1901,6 MPI
2076,3474,1941,6 MPI
2077,3475,1944,6 MPI
2078,3476,Y-16,6 MPI
2079,3477,Y-18,6 MPI
2080,3478,1905,6 MPI
2081,3479,B-167,6 MPI
2082,3480,1904,6 MPI
2083,3481,1943,6 MPI
2084,3482,O-39,6 MPI
2085,3483,Y-15,6 MPI
2086,3484,B-204,6 MPI
2087,3485,B-206,6 MPI
2088,3486,B-199,6 MPI
2089,3487,Y-23,6 MPI
2090,3488,B-158,6 MPI
2091,3489,B-161,6 MPI
2092,3490,B-119,6 MPI
2093,3491,B-120,6 MPI
2094,3492,O-37,6 MPI
2095,3493,1946,6 MPI
2096,3494,B-109,6 MPI
2097,3495,B-155,6 MPI
2098,3496,1942,9 MPI
2099,3497,B-146,9 MPI
2100,3498,1945,9 MPI
2101,3499,B-112,9 MPI
2102,3500,B-121,9 MPI
2103,3501,B-166,9 MPI
2104,3502,1901,9 MPI
2105,3503,1941,9 MPI
2106,3504,1944,9 MPI
2107,3505,Y-16,9 MPI
2108,3506,Y-18,9 MPI
