"Sample IDs","Tissue","Dilutions","MPR","MS","TtT","RAF","Assay","crossed"
"P",NA,-3,9.69871794871795,4.54273493333333,12.275641025641,0.0814621409921671,"RT-QuIC",TRUE
"B-146","RAMALT",-2,33.1645569620253,26.4247538666667,27.85,0.0359066427289048,"RT-QuIC",TRUE
"1945","RAMALT",-2,19.9531772575251,14.6934225333333,19.5230769230769,0.0512214342001576,"RT-QuIC",TRUE
"B-112","RAMALT",-2,21.7955555555556,3.16444453333333,29.0789473684211,0.0343891402714932,"RT-QuIC",TRUE
"B-121","RAMALT",-2,18.2323651452282,2.439834,38.9224137931034,0.0256921373200443,"RT-QuIC",TRUE
"B-166","RAMALT",-2,18.9384615384615,2.33846146666667,32.9880952380952,0.0303139660772284,"RT-QuIC",TRUE
"1901","RAMALT",-2,33.094262295082,23.9125684,20.5333333333333,0.0487012987012987,"RT-QuIC",TRUE
"1941","RAMALT",-2,17.9414414414414,2.7927928,21.8785714285714,0.0457068233757754,"RT-QuIC",TRUE
"1944","RAMALT",-2,28.362962962963,11.3530864,17.6951219512195,0.056512749827705,"RT-QuIC",TRUE
"Y-18","RAMALT",-2,20.7875,3.27777773333333,26.6527777777778,0.037519541427827,"RT-QuIC",TRUE
"B-167","RAMALT",-2,1.2020202020202,1.14478133333333,72,0.0138888888888889,"RT-QuIC",FALSE
"B-227","RAMALT",-2,1.11157024793388,0.92562,72,0.0138888888888889,"RT-QuIC",FALSE
"P",NA,-3,7.9915014164306,6.61000933333333,14.3162460567823,0.0698507133807084,"RT-QuIC",TRUE
"B-146","RAMALT",-2,26.3038461538462,23.7179486666667,17.2875,0.0578452639190166,"RT-QuIC",TRUE
"1945","RAMALT",-2,21.8643533123028,17.4973712,12.265,0.0815328169588259,"RT-QuIC",TRUE
"B-112","RAMALT",-2,19.5973451327434,1.8879056,31.0222222222222,0.0322349570200573,"RT-QuIC",TRUE
"B-121","RAMALT",-2,1.17054263565891,1.22997466666667,72,0.0138888888888889,"RT-QuIC",FALSE
"B-166","RAMALT",-2,16.6241134751773,1.574468,53.1810344827586,0.0188036958988491,"RT-QuIC",TRUE
"1901","RAMALT",-2,25.7611336032389,5.58704453333333,18.46875,0.0541455160744501,"RT-QuIC",TRUE
"1941","RAMALT",-2,10.6554621848739,1.394958,62.5245901639344,0.0159937073938123,"RT-QuIC",TRUE
"1944","RAMALT",-2,17.6398601398601,2.4988344,22.66,0.0441306266548985,"RT-QuIC",TRUE
"Y-18","RAMALT",-2,19.6734693877551,2.41632653333333,29.6052631578947,0.0337777777777778,"RT-QuIC",TRUE
"B-167","RAMALT",-2,1.1697247706422,1.36391466666667,72,0.0138888888888889,"RT-QuIC",FALSE
"B-227","RAMALT",-2,1.125,1.03645866666667,72,0.0138888888888889,"RT-QuIC",FALSE
"P",NA,-3,8.74567901234568,4.8427984,13.316265060241,0.0750961320968107,"RT-QuIC",TRUE
"B-146","RAMALT",-2,35.5433070866142,28.3937008,19.1944444444444,0.0520984081041968,"RT-QuIC",TRUE
"1945","RAMALT",-2,19.5847953216374,16.245614,10.0724637681159,0.0992805755395683,"RT-QuIC",TRUE
"B-112","RAMALT",-2,1.18454935622318,1.25894133333333,72,0.0138888888888889,"RT-QuIC",FALSE
