"Sample IDs","Tissue","Dilutions","MPR","MS","TtT","RAF","Assay","crossed"
"P",NA,-3,9.69871794871795,4.54273493333333,11.6939102564103,0.0855145950390572,"RT-QuIC",TRUE
"B-146","RAMALT",-2,33.1645569620253,26.4247538666667,27.775,0.036003600360036,"RT-QuIC",TRUE
"1945","RAMALT",-2,19.9531772575251,14.6934225333333,19.1307692307692,0.0522718134298351,"RT-QuIC",TRUE
"B-112","RAMALT",-2,21.7955555555556,3.16444453333333,28.6447368421053,0.0349104271933854,"RT-QuIC",TRUE
"B-121","RAMALT",-2,18.2323651452282,2.439834,38.7931034482759,0.0257777777777778,"RT-QuIC",TRUE
"B-166","RAMALT",-2,18.9384615384615,2.33846146666667,32.4345238095238,0.0308313452009543,"RT-QuIC",TRUE
"1901","RAMALT",-2,33.094262295082,23.9125684,20.1333333333333,0.0496688741721854,"RT-QuIC",TRUE
"1941","RAMALT",-2,17.9414414414414,2.7927928,21.7821428571429,0.0459091654369569,"RT-QuIC",TRUE
"1944","RAMALT",-2,28.362962962963,11.3530864,17.1737804878049,0.0582282975323984,"RT-QuIC",TRUE
"Y-18","RAMALT",-2,20.7875,3.27777773333333,26.5381944444444,0.0376815386628287,"RT-QuIC",TRUE
"B-167","RAMALT",-2,1.2020202020202,1.14478133333333,72,0.0138888888888889,"RT-QuIC",FALSE
"B-227","RAMALT",-2,1.11157024793388,0.92562,72,0.0138888888888889,"RT-QuIC",FALSE
"P",NA,-3,7.9915014164306,6.61000933333333,14.2665615141956,0.0700939745715865,"RT-QuIC",TRUE
"B-146","RAMALT",-2,26.3038461538462,23.7179486666667,17.259375,0.057939525620134,"RT-QuIC",TRUE
"1945","RAMALT",-2,21.8643533123028,17.4973712,12.06625,0.0828757899098726,"RT-QuIC",TRUE
"B-112","RAMALT",-2,19.5973451327434,1.8879056,31.0055555555556,0.0322522845368214,"RT-QuIC",TRUE
"B-121","RAMALT",-2,1.17054263565891,1.22997466666667,72,0.0138888888888889,"RT-QuIC",FALSE
"B-166","RAMALT",-2,16.6241134751773,1.574468,52.4827586206897,0.019053876478318,"RT-QuIC",TRUE
"1901","RAMALT",-2,25.7611336032389,5.58704453333333,17.7421875,0.0563628357551739,"RT-QuIC",TRUE
"1941","RAMALT",-2,10.6554621848739,1.394958,62.1311475409836,0.0160949868073879,"RT-QuIC",TRUE
"1944","RAMALT",-2,17.6398601398601,2.4988344,22.165,0.0451161741484322,"RT-QuIC",TRUE
"Y-18","RAMALT",-2,19.6734693877551,2.41632653333333,29.5263157894737,0.0338680926916221,"RT-QuIC",TRUE
"B-167","RAMALT",-2,1.1697247706422,1.36391466666667,72,0.0138888888888889,"RT-QuIC",FALSE
"B-227","RAMALT",-2,1.125,1.03645866666667,72,0.0138888888888889,"RT-QuIC",FALSE
"P",NA,-3,8.74567901234568,4.8427984,13.2665662650602,0.0753774548756953,"RT-QuIC",TRUE
"B-146","RAMALT",-2,35.5433070866142,28.3937008,18.4861111111111,0.0540946656649136,"RT-QuIC",TRUE
"1945","RAMALT",-2,19.5847953216374,16.245614,9.64311594202899,0.103700920533534,"RT-QuIC",TRUE
"B-112","RAMALT",-2,1.18454935622318,1.25894133333333,72,0.0138888888888889,"RT-QuIC",FALSE
"B-121","RAMALT",-2,1.18217054263566,1.24547866666667,72,0.0138888888888889,"RT-QuIC",FALSE
"B-166","RAMALT",-2,9.48056537102473,1.17314533333333,53.4054054054054,0.0187246963562753,"RT-QuIC",TRUE
"1901","RAMALT",-2,24.9918367346939,5.15374146666667,19.1778846153846,0.0521433943344196,"RT-QuIC",TRUE
"1941","RAMALT",-2,11.9256198347107,1.300276,55.2012195121951,0.018115541809345,"RT-QuIC",TRUE
"1944","RAMALT",-2,22.4137931034483,2.95172413333333,25.7439024390244,0.0388441496920891,"RT-QuIC",TRUE
"Y-18","RAMALT",-2,14.8911290322581,1.27957,44.5,0.0224719101123595,"RT-QuIC",TRUE
"B-167","RAMALT",-2,1.14611872146119,1.144596,72,0.0138888888888889,"RT-QuIC",FALSE
"B-227","RAMALT",-2,1.13492063492063,1.00529066666667,72,0.0138888888888889,"RT-QuIC",FALSE
"P",NA,-3,8.62935323383085,5.43283573333333,8.56617647058824,0.116738197424893,"RT-QuIC",TRUE
"B-146","RAMALT",-2,25.3031496062992,23.4698162666667,17.3506493506494,0.0576347305389222,"RT-QuIC",TRUE
