"Sample IDs","Dilutions","MPR","MS","TtT","RAF","Animal IDs","Months","Assay","crossed"
"P",-3,9.75652173913043,8.6811596,22.2938596491228,0.0448554003541216,NA,NA,"RT-QuIC",TRUE
"S-1140",-1,1.1840354767184,0.833702666666667,72,0.0138888888888889,"B-166",0,"RT-QuIC",FALSE
"S-1145",-1,1.14069264069264,0.784993333333333,72,0.0138888888888889,"1905",0,"RT-QuIC",FALSE
"S-1153",-1,1.12882096069869,0.669577333333333,72,0.0138888888888889,"Y-15",0,"RT-QuIC",FALSE
"S-1160",-1,1.11086474501109,0.691796,72,0.0138888888888889,"B-206",0,"RT-QuIC",FALSE
"S-1165",-1,1.10089686098655,0.747384,72,0.0138888888888889,"1942",0,"RT-QuIC",FALSE
"S-1166",-1,1.12694877505568,0.757238666666667,72,0.0138888888888889,"1945",0,"RT-QuIC",FALSE
"S-1185",-1,1.08558558558559,0.720721333333333,72,0.0138888888888889,"1904",0,"RT-QuIC",FALSE
"S-1256",-1,1.10810810810811,0.744745333333333,72,0.0138888888888889,"1905",12,"RT-QuIC",FALSE
"S-1303",-1,1.12268518518519,0.743826666666667,72,0.0138888888888889,"1945",18,"RT-QuIC",FALSE
"S-1306",-1,1.10538641686183,0.75566,72,0.0138888888888889,"B-166",18,"RT-QuIC",FALSE
"S-1314",-1,1.10361445783133,0.75502,72,0.0138888888888889,"O-39",18,"RT-QuIC",FALSE
"P",-3,7.19870410367171,3.27717786666667,20.8201133144476,0.0480304782638275,NA,NA,"RT-QuIC",TRUE
"S-1140",-1,1.16458333333333,0.747222666666667,72,0.0138888888888889,"B-166",0,"RT-QuIC",FALSE
"S-1145",-1,1.10721649484536,0.690034666666667,72,0.0138888888888889,"1905",0,"RT-QuIC",FALSE
"S-1153",-1,1.17943107221007,0.720641333333333,72,0.0138888888888889,"Y-15",0,"RT-QuIC",FALSE
"S-1160",-1,1.15320910973085,0.599033866666666,72,0.0138888888888889,"B-206",0,"RT-QuIC",FALSE
"S-1165",-1,1.19347826086957,0.721738666666667,72,0.0138888888888889,"1942",0,"RT-QuIC",FALSE
"S-1166",-1,1.15074309978769,0.656758666666667,72,0.0138888888888889,"1945",0,"RT-QuIC",FALSE
"S-1185",-1,1.11489361702128,0.675177333333333,72,0.0138888888888889,"1904",0,"RT-QuIC",FALSE
"S-1256",-1,1.14870689655172,0.755746666666667,72,0.0138888888888889,"1905",12,"RT-QuIC",FALSE
"S-1303",-1,1.10989010989011,0.703297333333333,72,0.0138888888888889,"1945",18,"RT-QuIC",FALSE
"S-1306",-1,1.140589569161,0.707482666666667,72,0.0138888888888889,"B-166",18,"RT-QuIC",FALSE
"S-1314",-1,1.17995444191344,0.707669333333333,72,0.0138888888888889,"O-39",18,"RT-QuIC",FALSE
