"Sample IDs","Animal IDs","Months","Dilutions","Assay","Reaction","Threshold","reps","mean_MPR","mean_MS","mean_TtT","mean_RAF","thres_pos"
"N",NA,NA,-3,"Nano-QuIC","20250819_r9_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.125027681522,0.193790777082823,72,0.0138888888888889,FALSE
"N",NA,NA,-3,"Nano-QuIC","20250821_r13_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.26208699638964,0.126819423054083,72,0.0138888888888889,FALSE
"N",NA,NA,-3,"Nano-QuIC","20250821_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.21641916957807,0.114938997730526,72,0.0138888888888889,FALSE
"N",NA,NA,-3,"Nano-QuIC","20250903_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.58870448065857,0.342520879294044,65.960859929078,0.0156420434682172,FALSE
"N",NA,NA,-3,"Nano-QuIC","20250903_r4_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,1.87138572333601,0.0983706667504688,72,0.0138888888888889,FALSE
"N",NA,NA,-3,"RT-QuIC","20250819_r8_GR_USDA-oral-swabs_RT-QuIC",2,4,1.4735315499752,0.110551838082476,72,0.0138888888888889,FALSE
"N",NA,NA,-3,"RT-QuIC","20250821_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.60717850687045,0.133320745620933,72,0.0138888888888889,FALSE
"N",NA,NA,-3,"RT-QuIC","20250821_r6_GR_USDA-oral-swabs_RT-QuIC",2,4,1.62154252990966,0.176144188190944,72,0.0138888888888889,FALSE
"N",NA,NA,-3,"RT-QuIC","20250903_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.55232102825348,0.108041585421195,72,0.0138888888888889,FALSE
"N",NA,NA,-3,"RT-QuIC","20250903_r3_GR_USDA-oral-swabs_RT-QuIC",2,4,1.56334483897245,0.102172053573248,72,0.0138888888888889,FALSE
"P",NA,NA,-3,"Nano-QuIC","20250819_r9_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,9.38113841470715,3.72942835830068,9.55137785272542,0.105186647036104,TRUE
"P",NA,NA,-3,"Nano-QuIC","20250821_r13_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,8.81797070382279,3.35675496350737,8.67646903095084,0.116168093132501,TRUE
"P",NA,NA,-3,"Nano-QuIC","20250821_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,8.36349937009448,3.57531613368411,9.08617874627739,0.110850359225644,TRUE
"P",NA,NA,-3,"Nano-QuIC","20250903_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,9.23879299203176,4.68682040142168,8.5450875761385,0.11813620998248,TRUE
"P",NA,NA,-3,"Nano-QuIC","20250903_r4_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,7.37386486184362,3.13595343347556,7.88591340895602,0.127216412782932,TRUE
"P",NA,NA,-3,"RT-QuIC","20250819_r8_GR_USDA-oral-swabs_RT-QuIC",2,4,8.21948214261312,4.17568972966775,21.7840306082441,0.0459406766539626,TRUE
"P",NA,NA,-3,"RT-QuIC","20250821_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,7.57479754220848,3.73466506719874,16.0792242367847,0.0632040217757262,TRUE
"P",NA,NA,-3,"RT-QuIC","20250821_r6_GR_USDA-oral-swabs_RT-QuIC",2,4,9.53473207732843,4.01913923541713,12.3190682101971,0.0819598248320297,TRUE
"P",NA,NA,-3,"RT-QuIC","20250903_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,7.58038369006493,3.50741465202236,15.4320806451371,0.0652982136851046,TRUE
"P",NA,NA,-3,"RT-QuIC","20250903_r3_GR_USDA-oral-swabs_RT-QuIC",2,4,6.36556157192382,2.21523747628697,17.0774057539683,0.0600816139773475,TRUE
"S-1062","B-146",51,-3,"Nano-QuIC","20250821_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.31626010314023,0.112841991737223,72,0.0138888888888889,FALSE
"S-1062","B-146",51,-3,"RT-QuIC","20250821_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.70476348730956,0.0915316624421326,72,0.0138888888888889,FALSE
"S-1063","1901",51,-3,"Nano-QuIC","20250821_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,4.99963716749933,1.36961960514539,67.1787824065013,0.0150393994846686,FALSE
"S-1063","1901",51,-3,"RT-QuIC","20250821_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.66909776611014,0.0730552379571474,72,0.0138888888888889,FALSE
"S-1064","Y-16",51,-3,"Nano-QuIC","20250821_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.34056411412212,0.111195282429629,72,0.0138888888888889,FALSE
"S-1064","Y-16",51,-3,"RT-QuIC","20250821_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.63651667211011,0.0732693045651189,72,0.0138888888888889,FALSE
"S-1065","Y-15",51,-3,"Nano-QuIC","20250821_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,3.92446101097124,0.732612672296308,66.7702205882353,0.0153108656014587,FALSE
